station_id,year,month,obs_mm_day,CHIRPS,ERA5_LAND,GPM_IMERG,MERRA2,PERSIANN_CDR,TERRACLIMATE,zone_name,zone_id
WA001,2016,1,2.02,0.03253378,0.00075784,0.0,,0.06605538,0.0,Soudanian,3
WA001,2016,2,6.33,0.010209122,0.001152788,0.006757153,,0.121135406,0.028033027,Soudanian,3
WA001,2016,3,1.12,0.00097179,0.001094756,0.042019073,,0.038494222,0.0,Soudanian,3
WA001,2016,4,0.0,0.000612206,0.000957592,0.110309616,,0.044210374,0.0,Soudanian,3
WA001,2016,5,1.3,0.013198286,0.001831178,0.037514307,,0.075226456,0.002015514,Soudanian,3
WA001,2016,6,0.01,0.257875532,0.022285096,0.040504768,,0.414537996,0.106234744,Soudanian,3
WA001,2016,7,2.49,3.146532297,1.607253194,2.503928185,,5.573735237,3.549994469,Soudanian,3
WA001,2016,8,4.3,4.563779831,4.96407938,4.677671432,,3.842660189,4.34442997,Soudanian,3
WA001,2016,9,2.92,6.832025528,4.309267521,7.858244419,,7.061950684,7.574816704,Soudanian,3
WA001,2016,10,2.26,0.215667576,0.013675396,0.14623332,,0.234553337,0.181452811,Soudanian,3
WA001,2016,11,0.61,0.030998275,0.061771847,0.077261925,,0.267588645,0.033333335,Soudanian,3
WA001,2016,12,1.3,0.035963874,0.000843587,0.004504769,,0.08588893,0.0,Soudanian,3
WA001,2017,1,0.0,0.042693872,0.000887036,0.018019075,,0.134096667,0.0,Soudanian,3
WA001,2017,2,4.44,0.002587219,0.007210469,0.01726192,,0.049967043,0.0,Soudanian,3
WA001,2017,3,1.45,2.28e-05,0.003289359,0.012757153,,0.008912811,0.0,Soudanian,3
WA001,2017,4,0.0,0.002404311,0.00094427,0.016504768,,0.009597911,0.0,Soudanian,3
WA001,2017,5,0.0,0.025257289,0.011389578,0.027747616,,0.123991616,0.002015514,Soudanian,3
WA001,2017,6,0.08,0.833812714,0.110322751,1.028156996,,0.306016117,0.445739239,Soudanian,3
WA001,2017,7,3.64,4.427755833,0.618816257,5.036437988,,1.378582478,2.564185143,Soudanian,3
WA001,2017,8,2.84,5.9607234,4.205578327,3.828675032,,6.013168335,6.106482029,Soudanian,3
WA001,2017,9,2.54,2.680901051,2.165467978,2.74775219,,2.311035633,3.270773411,Soudanian,3
WA001,2017,10,0.0,0.313160509,0.003534875,0.460619241,,0.431804687,0.44756645,Soudanian,3
WA001,2017,11,0.09,0.04169761,0.000858004,0.039728541,,0.183898509,0.0,Soudanian,3
WA001,2017,12,1.75,0.026365479,0.000844415,0.009009537,,0.0561275,0.0,Soudanian,3
WA001,2018,1,3.17,0.003990362,0.000817424,0.0,,0.018375114,0.0,Soudanian,3
WA001,2018,2,6.17,0.008073846,0.027860127,0.12980485,,0.166485459,0.0,Soudanian,3
WA001,2018,3,2.31,3.26e-05,0.008672197,0.006,,0.035167068,0.0,Soudanian,3
